inclusion,current_role,consent_date,age,gender,race_eth,sex_orient,educator_status,high_lved,yrs_teach,current_class,current_class_other,teach_stud,school_type,school_type_other,school_loc,school_level,school_level_other,grades_teach,school_size,mh_syst,mh_prac,mh_prac_other,pro_1,pro_2,pro_3,pro_4,pro_5,pro_6,pro_7,pro_8,pro_9,pro_10,pro_11,pro_12,pro_13,pro_14,pro_15,pro_16,pro_17,pro_18,pro_19,pro_20,pro_21,pro_22,pro_23,pro_24,pro_25,pro_26,pro_27,pro_28,pro_29,pro_30,mhl_1,mhl_2,mhl_3,mhl_4,mhl_5,mhl_6,mhl_7,mhl_8,mhl_9,mhl_10,mhl_11,mhl_12,mhl_13,mhl_14,mhl_15,erq_1,erq_2,erq_3,erq_4,erq_5,erq_6,erq_7,erq_8,erq_9,erq_10,stress_1E,stress_1A,stress_2E,stress_2A,stress_3E,stress_3A,stress_4E,stress_4A,stress_5A,stress_5E,stress_6E,stress_6A,stress_7E,stress_7A,stress_8E,stress_8A,stress_9E,stress_9A,stress_10E,stress_10A,stress_11E,stress_11A,stress_12E,stress_12A,stress_13E,stress_13A,stress_14E,stress_14A,stress_15E,stress_15A,leav_prof_yr,leave_prof_five_yrs,leave_prof_why,leave_prof_why_oth
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,45-54,Female,Hispanic or Latino/Latina,Straight,Current K-12 license through TSPC,"Bachelor's Degree,Graduated from Teacher License Program",2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,5,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Very often,Very often,Very often,Rarely,Sometimes,Often,Often,Often,Sometimes,Often,Very often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Never,Very often,Rarely,Often,Often,Rarely,Very often,Very often,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,6,6,2,3,8,8,6,3,10,3,7,7,3,3,5,4,8,2,4,2,3,3,7,4,5,4,2,2,2,2,0-24%,0-24%,"Administrative support,Student behavior,Staff shortages,Staff turnover,Workload,Salary,Desire to change role within schools,Lack of resources,Limited planning time,Emotional exhaustion,Work environment",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,45-54,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Elementary School,,4,501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Very often,Often,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Very often,Sometimes,Sometimes,Rarely,Never,Sometimes,Often,Often,Sometimes,Very often,Sometimes,Very often,Often,Never,Often,Never,Very often,Sometimes,Never,Very often,Sometimes,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3,1,1,1,1,1,2,1,6,1,3,1,3,1,3,1,4,1,3,1,1,1,1,1,1,1,1,1,2,1,0-24%,75-100%,"Administrative support,Student behavior,Staff shortages,Staff turnover,Workload,Salary,Lack of resources,Emotional exhaustion,Work environment,School culture",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,55-64,"Female,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,Straight,Professional License,Master's Degree,11-15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students who have experienced trauma",Public school,,"In an urban area or city (population of 250,000 or more)",Elementary School,,5,Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,School-based health center",,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Very often,Often,Very often,Often,Sometimes,Often,Sometimes,Very often,Sometimes,Rarely,Often,Often,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Agree,Somewhat disagree,Somewhat agree,6,3,3,6,2,8,5,6,6,7,4,6,3,6,2,7,8,8,3,4,5,7,3,4,2,4,7,7,7,7,0-24%,25-49%,"Workload,Salary,Emotional exhaustion,Retirement",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,25-34,Female,Hispanic or Latino/Latina,Straight,Preliminary License,Master's Degree,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,K,Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Rarely,,Very often,Sometimes,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Very often,Rarely,Rarely,Rarely,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4,3,6,2,4,2,3,3,5,2,5,4,6,2,5,2,5,3,5,2,5,1,5,3,4,3,4,3,3,3,0-24%,0-24%,"Administrative support,Staff shortages,Workload,Salary",
,Classroom Teacher in K-12 Setting in Oregon,5/1/24,55-64,Female,White or Caucasian,Bisexual,Current K-12 license through TSPC,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Twice Exceptional Students (Students with disabilities and giftedness)",Public school,,"In an urban area or city (population of 250,000 or more)",Elementary School,,K,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies,School-based health center",,Very often,Often,Often,Often,Often,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Very often,Never,Often,Rarely,Often,Often,Sometimes,Very often,Very often,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Neither agree nor disagree (neutral),Agree,Somewhat agree,Disagree,Agree,2,2,2,2,2,2,2,2,3,3,2,2,1,1,2,2,,,,,,,,,,,,,,,0-24%,25-49%,Another option not listed,Retirement 
,Classroom Teacher in K-12 Setting in Oregon,5/2/24,55-64,Female,White or Caucasian,Straight,Professional License,Master's Degree,More than 15 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,"6,7,8",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Often,Often,Often,Sometimes,Very often,,Sometimes,Often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Very often,Sometimes,Very often,Very often,Sometimes,Often,Sometimes,Very often,Often,Never,Very often,Sometimes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,1,1,,,2,2,,,4,3,,,,,3,2,,,4,2,,,,,4,2,,,,,75-100%,75-100%,"Administrative support,Student behavior,Staff shortages,Staff turnover,Workload,Emotional exhaustion,Work environment,Retirement,Another option not listed",Run down facilities
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,25-34,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,2-5 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Middle School,,"6,7,8",501 to 1000 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,5,6,5,4,4,4,4,6,4,4,4,4,5,2,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,0-24%,0-24%,"Salary,Desire to change role within schools",
Yes,Teacher candidate (in Master's level pre-service program) in Oregon,5/19/24,45-54,Female,Hispanic or Latino/Latina,Straight,"Teacher candidate (pre-service),Reciprocal License",Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Charter school,,"In an urban area or city (population of 250,000 or more)",High School,,"9,10,11,12+",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies,School-based health center",,Very often,Sometimes,Very often,Very often,Never,Very often,Never,Never,Never,Never,Rarely,Very often,Never,Never,Very often,Very often,Very often,Very often,Sometimes,Very often,Sometimes,Very often,Never,Very often,Never,Rarely,Very often,Never,Very often,Very often,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,3,2,1,1,1,1,2,,4,2,2,2,1,1,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,0-24%,50-74%,"Administrative support,Salary,Desire to change role within schools,Retirement",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,25-34,"Male,Cisgender (your gender identity is the same as your sex assigned at birth)",Hispanic or Latino/Latina,Bisexual,"Current K-12 license through TSPC,Preliminary License",Doctoral Degree,6-10 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional)",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,5,Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports",,Often,Often,Very often,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Never,Never,Rarely,Often,Very often,Very often,Often,Very often,Sometimes,Often,Sometimes,Very often,Sometimes,Sometimes,Often,Never,Often,Often,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,6,7,6,6,7,6,8,7,9,8,5,4,5,5,6,7,7,7,9,8,4,3,3,3,2,2,2,2,5,5,0-24%,0-24%,Desire to change role within schools,
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,45-54,"Female,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,Prefer not to answer,Professional License,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,3,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies,School-based health center",,Sometimes,Very often,Often,Very often,Sometimes,Often,Sometimes,Rarely,Very often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Rarely,Often,Rarely,Sometimes,Often,Rarely,Very often,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree (neutral),Agree,Neither agree nor disagree (neutral),Disagree,Agree,Somewhat agree,Neither agree nor disagree (neutral),Neither agree nor disagree (neutral),Neither agree nor disagree (neutral),Neither agree nor disagree (neutral),4,2,4,2,5,2,7,3,7,3,2,2,1,1,5,2,6,2,1,1,1,1,4,2,1,1,5,2,1,1,0-24%,0-24%,"Administrative support,Student behavior,Workload,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,35-44,Female,White or Caucasian,Straight,"Current K-12 license through TSPC,Professional License",Master's Degree,11-15 years,Other (Please Specify),Dual Language Immersion General Ed,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma","Public school,Other",Dual Language,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,"1,2,3,4,5",Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies,School-based health center",,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Very often,Often,Very often,Often,Never,Often,Never,Sometimes,Often,Never,Often,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree (neutral),Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,7,4,3,2,10,5,8,4,10,3,4,2,1,1,7,4,5,3,1,1,2,1,2,1,3,1,2,1,1,1,0-24%,50-74%,"Student behavior,Workload,Salary,Desire to change role within schools,Limited planning time,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,45-54,Female,"Native American/American Indian/Alaska Native,White or Caucasian,Hispanic or Latino/Latina",Straight,Professional License,Master's Degree,More than 15 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,"K,1,2",Less than 500 students,Yes,Community-school partnerships with outside agencies,,Very often,Very often,Very often,Very often,Rarely,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Very often,Very often,Very often,Very often,Sometimes,Very often,Sometimes,Very often,Never,Very often,Never,Sometimes,Often,Rarely,Very often,Very often,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree (neutral),Strongly agree,Neither agree nor disagree (neutral),Strongly agree,Strongly agree,Neither agree nor disagree (neutral),Strongly agree,5,3,1,1,2,2,1,1,3,2,1,1,1,1,3,3,2,2,1,1,1,1,2,2,1,1,1,1,1,1,0-24%,0-24%,"Salary,Lack of resources",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,35-44,"Female,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,Straight,"Current K-12 license through TSPC,Professional License","Master's Degree,Graduated from Teacher License Program",11-15 years,Other (Please Specify),Bilingual Education (general ed. but in a dual language immersion program w/Spanish and English),"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,3,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Sometimes,Very often,Often,Sometimes,Sometimes,Often,Never,Rarely,Never,Rarely,Often,Never,Never,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Often,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,6,4,2,1,4,2,3,2,7,3,6,4,3,1,2,1,4,2,1,1,2,2,1,1,3,2,2,1,3,2,0-24%,25-49%,"Administrative support,Student behavior,Workload,Salary,Desire to change role within schools,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,25-34,Male,Hispanic or Latino/Latina,Straight,Preliminary License,Master's Degree,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,"2,4,5",Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports",,Often,Very often,Often,Often,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Often,Never,Never,Rarely,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Rarely,Often,Never,Never,Sometimes,Sometimes,Often,Often,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,4,6,2,6,2,6,4,6,5,9,3,5,2,8,2,5,2,6,,,,3,4,5,2,4,2,4,1,5,0-24%,0-24%,"Administrative support,Student behavior,Staff shortages,Staff turnover,Workload,Salary,Desire to change role within schools,Lack of resources,Limited planning time,Emotional exhaustion,Work environment,School culture",
Yes,Teacher candidate (in Master's level pre-service program) in Oregon,5/20/24,21-24,Female,White or Caucasian,Straight,Teacher candidate (pre-service),Bachelor's Degree,0-1 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students who have experienced trauma",Public school,,"In an urban area or city (population of 250,000 or more)",Elementary School,,5,501 to 1000 students,I am not sure,,,Very often,Often,Very often,Very often,Often,Sometimes,Often,Rarely,Rarely,Rarely,Never,Often,Rarely,Never,Rarely,Sometimes,Often,Often,Often,Very often,Very often,Very often,Never,Very often,Never,Often,Often,Rarely,Very often,Often,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,Neither agree nor disagree (neutral),6,5,3,8,6,4,3,7,7,4,7,4,2,8,7,3,2,8,1,9,2,9,1,9,4,8,1,10,1,10,0-24%,25-49%,"Student behavior,Staff shortages,Workload,Salary,Limited planning time,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,25-34,Female,White or Caucasian,Straight,"Current K-12 license through TSPC,Professional License","Bachelor's Degree,Master's Degree,Graduated from Teacher License Program",11-15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Elementary School,,4,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Sometimes,Very often,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Very often,Sometimes,Sometimes,Very often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Very often,Often,Rarely,Very often,Sometimes,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,7,4,5,2,4,2,9,3,8,5,8,5,6,2,5,2,7,3,3,1,5,2,2,1,2,1,4,2,3,2,25-49%,50-74%,"Administrative support,Student behavior,Staff shortages,Workload,Lack of resources,Emotional exhaustion,Work environment,School culture",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,35-44,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Elementary School,,1,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,School-based health center",,Often,Very often,Often,Often,Sometimes,Often,Very often,Sometimes,Rarely,Often,Sometimes,Often,Never,Rarely,Often,Sometimes,Often,Often,Very often,Very often,Very often,Often,Rarely,Very often,Rarely,Often,Often,Sometimes,Often,Sometimes,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Disagree,Agree,8,6,4,3,6,5,7,5,8,6,5,4,4,2,7,6,6,4,2,2,2,2,3,2,2,1,2,1,1,1,0-24%,25-49%,"Student behavior,Staff shortages,Workload,Lack of resources,Limited planning time,Emotional exhaustion",
Yes,Neither or Other,5/20/24,35-44,Male,Prefer not to answer,Prefer not to answer,Current K-12 license through TSPC,Master's Degree,2-5 years,Other (Please Specify),PE,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,"K,1,2,3,4,5",Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,School-based health center",,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,Often,Often,Often,Often,Very often,Often,Sometimes,Sometimes,Never,Very often,Never,Sometimes,Sometimes,Never,Very often,Very often,Agree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,Somewhat agree,2,,2,,2,2,2,2,2,,2,,2,,3,,3,,3,,3,,3,,3,,3,,3,,0-24%,25-49%,Administrative support,
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,35-44,Male,"White or Caucasian,Hispanic or Latino/Latina",Straight,Emergency/Restricted License,Currently in Teacher License Program,0-1 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy)",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,3,Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports",,Very often,Often,Very often,Very often,Rarely,Often,Rarely,Never,Never,Never,Never,Very often,Never,Never,Often,Often,Very often,Very often,Rarely,Very often,Never,Very often,Never,Very often,Never,Never,Often,Never,Very often,Very often,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,8,9,2,7,5,7,2,4,8,9,8,10,8,9,10,10,8,9,10,10,2,3,6,7,5,6,,,10,10,0-24%,0-24%,Does not apply to me,
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,25-34,Male,White or Caucasian,Straight,Preliminary License,Master's Degree,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,2,Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Very often,Often,Often,Rarely,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Never,Often,Sometimes,Very often,Sometimes,Sometimes,Often,Sometimes,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree (neutral),Somewhat disagree,Neither agree nor disagree (neutral),Disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat disagree,Somewhat disagree,6,6,5,4,3,2,6,6,5,7,5,4,4,2,7,4,4,3,2,1,1,1,2,1,3,2,3,3,1,1,25-49%,50-74%,"Student behavior,Staff shortages,Staff turnover,Workload,Salary,Lack of resources,Limited planning time,Emotional exhaustion,Work environment",
